OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
683,2018-09-13 00:00:00,11:59 AM,EDSA OLIVEROS,Quezon City,14.657488,121.006604,SB,VEHICULAR ACCIDENT,1,TAXI AND MC,MMDA ALERT: Vehicular accident at EDSA Oliveros SB involving taxi and MC as of 11:59 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040090622609117185
684,2018-09-13 00:00:00,12:01 PM,C5 ORTIGAS FLYOVER,Pasig City,14.589706,121.079945,SB,VEHICULAR ACCIDENT,1,VAN AND L300,MMDA ALERT: Vehicular accident at C5 Ortigas f/o SB involving van and L300 as of 12:01 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040090830801797123
685,2018-09-13 00:00:00,12:02 PM,ORTIGAS AVE.,None,None,None,None,ONGOING DPWH ROAD PATCHING,1,None,MMDA ALERT: Ongoing DPWH Road Patching at Ortigas Ave. Robinsons as of 12:02 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040094109430505473
686,2018-09-13 00:00:00,1:13 PM,C5 KALAYAAN,Makati City,14.556079,121.062936,NB,VEHICULAR ACCIDENT,1,PUJ AND TRUCK,MMDA ALERT: Vehicular accident at C5 Kalayaan NB involving PUJ and truck as of 1:13 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040110185883127808
687,2018-09-13 00:00:00,1:30 PM,C5 ORTIGAS FLYOVER,Pasig City,14.589706,121.079945,SB,VEHICULAR ACCIDENT,1,SUV AND TRUCK,MMDA ALERT: Vehicular accident at C5 Ortigas f/o SB involving SUV and truck as of 1:30 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040112544441020416
688,2018-09-13 00:00:00,5:45 PM,EDSA CAMP AGUINALDO GATE 3,Quezon City,14.605745,121.057513,NB,VEHICULAR ACCIDENT,1,CAR AND MOTORCYCLE,MMDA ALERT: Vehicular accident at EDSA Camp Aguinaldo Gate 3 NB involving car and motorcycle as of 5:45 PM. 1 lane… https://t.co/OA1Lp6kYs7,https://twitter.com/mmda/status/1040176856756940800
689,2018-09-13 00:00:00,6:18 PM,MINDANAO AVE. ROAD 20,Quezon City,14.671786,121.032319,EB,VEHICULAR ACCIDENT,1,TRUCK AND AUV,MMDA ALERT: Vehicular accident at Mindanao Avenue Road 20 EB involving truck and AUV as of 6:18 PM. 1 lane occupied… https://t.co/xohRDyluXD,https://twitter.com/mmda/status/1040189189428375553
690,2018-09-13 00:00:00,6:21 PM,QUEZON AVE. CAPITOL,Quezon City,14.634745,121.022257,EB,VEHICULAR ACCIDENT,1,CAR AND PICK UP,MMDA ALERT: Vehicular accident at Quezon Avenue Capitol EB involving car and pick up as of 6:21 PM. 1 lane occupied… https://t.co/SjHiIl1i1K,https://twitter.com/mmda/status/1040189227852423168
691,2018-09-13 00:00:00,6:23 PM,KATIPUNAN C.P. GARCIA,Quezon City,14.648274,121.074353,NB,VEHICULAR ACCIDENT,1,CAR AND TRICYCLE,MMDA ALERT: Vehicular accident at Katipunan CP Garcia NB involving car and tricycle as of 6:23 PM. 1 lane occupied.… https://t.co/Dtyfz0LIuM,https://twitter.com/mmda/status/1040189269053071362
692,2018-09-13 00:00:00,6:41 PM,EDSA CENTRAL,Mandaluyong,14.579778,121.052512,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Central NB involving bus and car as of 6:41 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1040191562221637632
